No,カテゴリ,内容,状態,期限/頻度
1,??仕事,英語教科書、音声はりつけ,未完了,6月22日
2,??仕事,プロスパー契約書,未完了,6月20日
3,??仕事,バレエ支払い更新,未完了,6月21日
4,??仕事,アフタースクール支払い,未完了,6月21日
5,??仕事,ちょこけんプレゼン資料作成,完了,
6,??育児,行雲：チェロ練習サポート,継続中,毎晩19:00
7,??育児,天音：バイオリン練習サポート,継続中,毎晩18:30
8,??仕事,英語教科書 音声貼り付け,削除済,削除
9,??仕事,プロスパー契約書,削除済,削除
10,??仕事,バレエ支払い更新,削除済,削除
11,??仕事,アフタースクール支払い,削除済,削除
12,??家事,粗大ゴミ出し,削除済,削除
13,??仕事,サイボウズ後藤メールチェック,未完了,平日毎日
14,??仕事,サイボウズ全体メールチェック,完了 (6/20),平日毎日
15,??仕事,仕様書チェック,完了 (6/20),平日毎日
16,??仕事,PA管理アプリチェック,未完了,平日毎日
17,??仕事,経営管理アプリチェック,未完了,平日毎日
18,??家事,洗濯・アイロン,未完了,毎日
19,??仕事,森田さんへ振込,未完了,6月19日
20,??仕事,ジェネラルクリニック確認,未完了,来週
21,??仕事,au書類,未完了,来週
22,??仕事,シッター代申請（内閣府）,未完了,6月19日
23,??仕事,NTT口座振替設定,未完了,来週
24,??家事,住民票・戸籍謄本取得,未完了,来週
25,??仕事,バイオリンレッスン追加相談,完了,
26,??仕事,チェロレッスン追加相談,完了,
27,??仕事,森田さんへ振込,削除済,削除
28,??仕事,シッター代申請（内閣府）,削除済,削除
33,??仕事,ちょこけんイラレ最終調整,削除済,削除
34,??仕事,サイボウズ後藤メールチェック,未完了,毎日
35,??仕事,サイボウズ全体メールチェック,未完了,毎日
36,??仕事,仕様書チェック,未完了,毎日
37,??仕事,PA管理アプリチェック,未完了,毎日
38,??仕事,経営管理アプリチェック,未完了,毎日
39,??仕事,シッター代登録,未完了,6月23日
40,??仕事,決算処理,未完了,7月1日
41,??仕事,支払い漏れチェック,未完了,毎月25日
42,??仕事,メールボックス整理,未完了,毎月1日
43,??仕事,サマーキャンプ書類記載,未完了,6月24日
44,??仕事,森田さんへ振込（銀行情報含）,未完了,6月24日
45,??仕事,ちょこけんSNS投稿案構想,削除済,削除
46,??仕事,アプリ紹介文案作成,削除済,削除
47,??仕事,イラスト用途別リスト見直し,削除済,削除
48,??仕事,PocoPoco新機能アイデア,削除済,削除
49,??仕事,ちょこけんプレゼン資料作成,削除済,削除
50,??仕事,Zapier/MakeでDrive連携,削除済,削除
51,??家事,荷物にタオル入れる,未完了,6月23日
52,??家事,アルミホイル 小学校に持参,完了,
53,??家事,光組・お弁当申込（毎月25日）,未完了,毎月25日
59,?? 家事,帽子ストラップ購入,未完了,今週
60,?? 仕事,ToDoリスト運用方法再検討,完了,2025/6/19
61,?? 仕事,ToDoリスト実験,完了,2025/6/19
62,?? 家事,スイングペーパー準備,未完了,毎週木曜
63,?? 家事,お弁当材料購入,未完了,毎週木曜
64,?? 仕事,中電契約書チェック,未完了,2025/6/20
65,?? 仕事,カトリック保険申込,未完了,来週
66,?? 仕事,シーズ解約,未完了,来週
67,?? 仕事,トナー回収手配,未完了,来月
68,?? 仕事,ビットロック設定,未完了,来月
69,?? 仕事,住民税額を松本さんへ連絡,未完了,2025/6/20
70,?? 仕事,通帳コピーを松本さんへ送付,未完了,来週
71,?? 仕事,帳票売上を松本さんへ送付,未完了,来月
